Time,Analysis_Time,Source_Location,Active_Region,Type,Speed_km_s,Half_Angle_deg,Latitude_deg,Longitude_deg
2025-04-17 01:25:00+00:00,,N10W80,,,,,,
2025-04-17 04:12:00+00:00,,,,,,,,
2025-04-17 09:12:00+00:00,,,,,,,,
2025-04-17 11:00:00+00:00,,,,,,,,
2025-04-17 15:12:00+00:00,,,,,,,,
2025-04-18 07:36:00+00:00,,,,,,,,
2025-04-18 19:36:00+00:00,,,,,,,,
2025-04-19 00:00:00+00:00,,S29E90,,,,,,
2025-04-19 07:00:00+00:00,,,,,,,,
2025-04-19 15:23:00+00:00,,,,,,,,
2025-04-19 17:00:00+00:00,,,,,,,,
2025-04-19 19:36:00+00:00,,,,,,,,
2025-04-20 09:24:00+00:00,,,,,,,,
2025-04-20 12:48:00+00:00,,,,,,,,
2025-04-20 18:48:00+00:00,,,,,,,,
2025-04-20 21:24:00+00:00,,N35W80,,,,,,
2025-04-21 08:12:00+00:00,,,,,,,,
2025-04-21 10:12:00+00:00,,,,,,,,
2025-04-21 14:24:00+00:00,,,,,,,,
2025-04-22 08:48:00+00:00,,S31E10,14065.0,,,,,
2025-04-22 10:12:00+00:00,,,,,,,,
2025-04-22 10:24:00+00:00,,N08W90,14060.0,,,,,
2025-04-22 17:12:00+00:00,,,,,,,,
2025-04-22 17:24:00+00:00,,,,,,,,
2025-04-22 20:36:00+00:00,,,,,,,,
2025-04-23 08:00:00+00:00,,,,,,,,
2025-04-23 08:38:00+00:00,,,,,,,,
2025-04-23 19:00:00+00:00,,N45E90,,,,,,
2025-04-24 00:48:00+00:00,,,,,,,,
2025-04-24 04:48:00+00:00,,,,,,,,
2025-04-24 06:36:00+00:00,,N25W90,,,,,,
2025-04-24 08:12:00+00:00,,,,,,,,
2025-04-24 13:36:00+00:00,,,,,,,,
2025-04-24 14:24:00+00:00,,S31W22,14065.0,,,,,
2025-04-24 17:00:00+00:00,,,,,,,,
2025-04-25 03:24:00+00:00,,,,,,,,
2025-04-26 07:36:00+00:00,,N00W123,,,,,,
2025-04-26 07:48:00+00:00,,S11E45,14075.0,,,,,
2025-04-26 10:24:00+00:00,,S11E43,14075.0,,,,,
2025-04-26 20:00:00+00:00,,,,,,,,
2025-04-27 15:36:00+00:00,,,,,,,,
2025-04-27 17:00:00+00:00,,,,,,,,
2025-04-28 00:12:00+00:00,,N20E40,,,,,,
2025-04-28 08:12:00+00:00,,S25W20,14068.0,,,,,
2025-04-28 10:36:00+00:00,,,,,,,,
2025-04-28 15:48:00+00:00,,,,,,,,
2025-04-28 23:00:00+00:00,,,,,,,,
2025-04-29 02:12:00+00:00,,,,,,,,
2025-04-29 03:48:00+00:00,,,,,,,,
2025-04-29 07:12:00+00:00,,,,,,,,
2025-04-29 13:24:00+00:00,,N09E75,14079.0,,,,,
2025-04-29 14:28:00+00:00,,,,,,,,
2025-04-29 17:53:00+00:00,,,,,,,,
2025-04-29 22:24:00+00:00,,,,,,,,
2025-04-29 23:36:00+00:00,,S31W91,14065.0,,,,,
2025-05-01 09:38:00+00:00,,S31W117,14065.0,,,,,
2025-05-01 18:12:00+00:00,,,,,,,,
2025-05-02 02:24:00+00:00,,,,,,,,
2025-05-02 09:12:00+00:00,,S30W65,,,,,,
2025-05-03 11:53:00+00:00,,N10E55,,,,,,
2025-05-03 16:19:00+00:00,,,,,,,,
2025-05-03 17:48:00+00:00,,,,,,,,
2025-05-04 04:12:00+00:00,,N20E55,,,,,,
2025-05-04 08:00:00+00:00,,N07E42,14081.0,,,,,
2025-05-04 10:48:00+00:00,,,,,,,,
2025-05-04 12:24:00+00:00,,S12E70,14082.0,,,,,
2025-05-04 15:23:00+00:00,,,,,,,,
2025-05-04 21:00:00+00:00,,,,,,,,
2025-05-05 00:36:00+00:00,,,,,,,,
2025-05-05 07:24:00+00:00,,,,,,,,
2025-05-05 09:12:00+00:00,,S25E20,,,,,,
2025-05-05 11:00:00+00:00,,,,,,,,
2025-05-05 15:00:00+00:00,,,,,,,,
2025-05-05 20:36:00+00:00,,,,,,,,
2025-05-05 23:36:00+00:00,,,,,,,,
2025-05-06 02:48:00+00:00,,,,,,,,
2025-05-06 07:36:00+00:00,,,,,,,,
2025-05-06 16:55:00+00:00,,S20W01,,,,,,
2025-05-06 18:24:00+00:00,,N45W20,,,,,,
2025-05-07 10:00:00+00:00,,N38W30,,,,,,
2025-05-07 12:00:00+00:00,,,,,,,,
2025-05-07 23:24:00+00:00,,,,,,,,
2025-05-08 02:00:00+00:00,,N37E80,,,,,,
2025-05-08 02:12:00+00:00,,N18W90,,,,,,
2025-05-08 05:23:00+00:00,,,,,,,,
2025-05-08 07:48:00+00:00,,N08W46,14079.0,,,,,
2025-05-08 10:24:00+00:00,,N08W46,14079.0,,,,,
2025-05-08 11:12:00+00:00,,N08W46,14079.0,,,,,
2025-05-08 15:12:00+00:00,,S20W80,,,,,,
